id,agent_id,latitude,longitude,price,area_surface,property_type,floors,rooms,description,images,has_parking,distance_to_city_center,hospital_nearby,police_station_nearby,fire_station_nearby,public_transport_accessible,created_at
1,49,36.615671319449696,2.9844831337816604,227327,98.38000713532804,Studio,1,1,Nice property #1,['image_1.jpg'],True,14.09,True,False,True,True,2025-05-04 00:38:53.530412
2,27,36.740004643451236,2.9434316955935933,160817,61.91673972959922,Studio,1,2,Nice property #2,['image_2.jpg'],True,1.41,True,True,False,True,2025-03-08 00:38:53.530441
3,44,36.662428596193706,2.919620958485664,112257,127.4179145601562,Villa,2,2,Nice property #3,['image_3.jpg'],True,8.09,False,False,True,False,2025-05-17 00:38:53.530454
4,12,36.60176935981298,2.906023237685585,184877,59.61471014961164,Studio,0,4,Nice property #4,['image_4.jpg'],False,4.03,True,False,False,True,2024-10-06 00:38:53.530466
5,39,36.602680754030025,3.0871423819312476,205405,104.4742315252949,Apartment,3,6,Nice property #5,['image_5.jpg'],True,7.05,True,True,False,False,2024-07-27 00:38:53.530477
6,22,36.618427748318204,2.969600680625148,105429,55.0363081355567,Apartment,1,6,Nice property #6,['image_6.jpg'],False,12.51,True,False,False,False,2024-12-18 00:38:53.530489
7,42,36.74860674110689,3.067207948330032,169890,92.6795577098293,Apartment,3,1,Nice property #7,['image_7.jpg'],True,3.02,True,True,False,True,2024-12-22 00:38:53.530499
8,29,36.76812511303156,3.0434467770837554,132065,97.17449334241348,Studio,2,2,Nice property #8,['image_8.jpg'],True,10.22,True,False,False,False,2024-11-26 00:38:53.530514
9,19,36.778602767658526,2.953148714462678,97328,57.70881577128594,Villa,3,6,Nice property #9,['image_9.jpg'],True,12.5,False,True,False,True,2025-05-29 00:38:53.530531
10,36,36.75791494356279,2.9491496997750346,158589,67.15902038360154,Studio,1,3,Nice property #10,['image_10.jpg'],True,4.63,False,False,False,False,2025-02-20 00:38:53.530549
11,4,36.68749767435225,3.0144844566414184,113874,72.27568430378659,Studio,2,3,Nice property #11,['image_11.jpg'],True,10.46,True,True,False,False,2024-11-10 00:38:53.530563
12,20,36.67479235778527,2.94179267273488,140684,106.06377424085682,Studio,3,1,Nice property #12,['image_12.jpg'],False,3.62,True,False,False,False,2025-03-21 00:38:53.530574
13,47,36.67234409813139,3.081568020147092,148696,97.86796596166329,Apartment,0,2,Nice property #13,['image_13.jpg'],False,1.82,True,True,False,True,2025-06-29 00:38:53.530584
14,40,36.7259121480297,2.992277342436979,125031,126.82779935891456,Apartment,3,4,Nice property #14,['image_14.jpg'],True,5.37,True,False,True,False,2024-09-15 00:38:53.530594
15,15,36.64448583419651,2.9242375588871505,135700,127.91721603795281,Studio,2,3,Nice property #15,['image_15.jpg'],False,9.96,False,False,False,True,2025-06-05 00:38:53.530604
16,7,36.687540537149076,2.9818597545998724,169960,132.0086014316565,Studio,1,2,Nice property #16,['image_16.jpg'],True,10.76,True,False,False,True,2024-09-01 00:38:53.530614
17,20,36.735297591493335,2.9291102431487874,207769,71.54380497470075,Villa,3,6,Nice property #17,['image_17.jpg'],True,10.31,False,True,False,False,2024-11-10 00:38:53.530624
18,11,36.725210947090694,2.957868955099335,112698,137.76330097735223,Apartment,1,6,Nice property #18,['image_18.jpg'],False,12.53,False,False,False,False,2025-03-04 00:38:53.530638
19,14,36.60563664728184,3.0359012370223932,99569,133.75149784721464,Villa,0,4,Nice property #19,['image_19.jpg'],False,5.88,False,False,False,True,2024-08-22 00:38:53.530653
20,35,36.6684000226399,2.9738321045524905,218802,121.14375862012146,Apartment,2,2,Nice property #20,['image_20.jpg'],True,1.99,True,False,True,True,2025-04-30 00:38:53.530670
